5,3,1,6,1
5,5,2,5.5,2
5,6,3,5.5,3
5,7,4,4,4
5,8,5,4,5
5,9,6,4,6
5,10,7,4,7
5,11,8,4,8
5,12,9,4,9
5,1,10,3.5,10
5,13,11,3,11
5,2,12,3,12
5,14,13,3,13
5,20,14,2.5,14
5,16,15,2.5,15
5,17,16,2,16
5,18,17,2,17
5,19,18,18,18
5,15,19,1,19
4,9,1,6,20
4,2,2,4.5,21
4,12,4,4.5,22
4,20,5,4,23
4,3,6,3.5,24
4,11,7,3.5,25
4,1,11,2,26
6,6,3,7,27
6,9,4,6,28
6,2,5,5.5,29
6,3,6,4,30
6,10,9,2.5,31
6,5,10,2.5,32
6,1,12,2,33
6,16,13,2,34
4,25,3,4.5,35
4,26,8,3,36
4,23,9,3,37
4,22,10,3,38
4,24,12,2,39
4,21,13,1,40
6,33,2,8,41
6,34,1,8,42
6,25,7,3.5,43
6,24,8,3,44
6,27,11,2.5,45
6,35,14,1,46
7,34,1,6.5,47
7,6,2,6,48
7,9,3,5.5,49
7,5,4,4,50
7,10,5,4,51
7,11,6,4,52
7,3,7,4,53
7,37,8,4,54
7,42,9,4,55
7,20,10,4,56
7,44,11,3.5,57
7,43,12,3.5,58
7,1,13,3,59
7,40,14,3,60
7,12,15,3,61
7,27,16,2.5,62
7,30,17,2.5,63
7,4,18,2,64
7,41,19,2,65
7,2,20,2,66
7,38,21,2,67
8,6,1,8,68
8,2,2,6,69
8,20,3,6,70
8,28,4,6,71
8,29,5,5.5,72
8,3,6,5,73
8,27,7,4,74
8,30,8,4,75
8,5,9,3.5,76
8,39,10,3.5,77
8,1,11,3,78
8,4,12,3,79
8,16,13,3,80
8,45,14,2.5,81
